event_id,equipment_id,event_at,duration_sec,connection_status,received_count,window_label,loss_rate_pct,time_sync_status,clock_offset_ms,note
EV-001,EQ-01,2026-09-06T16:00:00,9000,connected,1760,최근 5분,1.0,synced,4,전일 오후 조업
EV-002,EQ-01,2026-09-06T18:30:00,9000,connected,1690,최근 5분,1.4,synced,5,전일 저녁
EV-003,EQ-01,2026-09-06T21:00:00,10800,connected,1510,최근 5분,2.0,delayed,40,전일 야간
EV-004,EQ-08,2026-09-06T14:00:00,14400,connected,800,최근 5분,6.0,synced,10,전일 오후 연결
EV-005,EQ-08,2026-09-06T18:00:00,14680,connected,420,최근 5분,22.0,delayed,90,전일 수신 감소
EV-006,EQ-08,2026-09-06T22:04:40,300,disconnected,12,최근 5분,88.0,unsynced,,전일 단절
EV-007,EQ-01,2026-09-07T06:00:00,7200,connected,1720,최근 5분,0.9,synced,4,조업 시작
EV-008,EQ-01,2026-09-07T08:00:00,5400,connected,1788,최근 5분,1.5,delayed,52,오전 중반
EV-009,EQ-01,2026-09-07T09:30:00,2700,connected,1840,최근 5분,1.2,synced,3,스냅샷 구간 진행
EV-010,EQ-02,2026-09-07T06:20:00,6000,connected,1680,최근 5분,4.2,synced,6,오전 정상
EV-011,EQ-02,2026-09-07T08:00:00,6000,connected,1510,최근 5분,12.4,synced,8,유실 급등
EV-012,EQ-02,2026-09-07T09:40:00,600,connected,1622,최근 5분,12.4,synced,8,스냅샷 직전
EV-013,EQ-03,2026-09-07T06:00:00,7200,connected,1600,최근 5분,2.0,synced,5,조업 시작
EV-014,EQ-03,2026-09-07T08:00:00,724,disconnected,210,최근 5분,35.0,delayed,90,수신 급감
EV-015,EQ-03,2026-09-07T08:12:04,5856,disconnected,0,최근 5분,100.0,unsynced,,단절 유지
EV-016,EQ-04,2026-09-07T07:00:00,7200,connected,1400,최근 5분,3.1,synced,12,오전 연결
EV-017,EQ-04,2026-09-07T09:00:00,2838,error,110,최근 5분,28.0,delayed,200,오류 진입
EV-018,EQ-04,2026-09-07T09:47:18,162,error,94,최근 5분,41.8,delayed,420,스냅샷 직전
EV-019,EQ-05,2026-09-07T06:15:00,6300,connected,1690,최근 5분,3.0,synced,8,조업 시작
EV-020,EQ-05,2026-09-07T08:00:00,5400,connected,1700,최근 5분,4.1,delayed,180,동기 지연
EV-021,EQ-05,2026-09-07T09:30:00,1200,connected,1710,최근 5분,4.6,delayed,180,스냅샷 직전
EV-022,EQ-06,2026-09-07T07:10:00,4800,connected,1020,최근 5분,,unsynced,,유실 산출 불가
EV-023,EQ-06,2026-09-07T08:30:00,4200,connected,990,최근 5분,,unsynced,,미동기 지속
EV-024,EQ-06,2026-09-07T09:40:00,600,connected,980,최근 5분,,unsynced,,스냅샷 직전
EV-025,EQ-07,2026-09-07T06:00:00,7200,connected,1980,최근 5분,0.5,synced,1,조업 시작
EV-026,EQ-07,2026-09-07T08:00:00,5400,connected,2001,최근 5분,0.7,synced,2,오전 중반
EV-027,EQ-07,2026-09-07T09:40:00,600,connected,2014,최근 5분,0.8,synced,2,스냅샷 직전
EV-028,EQ-08,2026-09-07T06:00:00,7200,disconnected,12,최근 5분,88.0,unsynced,,단절 유지
EV-029,EQ-08,2026-09-07T08:00:00,3600,disconnected,12,최근 5분,88.0,unsynced,,단절 유지
EV-030,EQ-08,2026-09-07T09:00:00,3000,disconnected,12,최근 5분,88.0,unsynced,,스냅샷 직전
EV-031,EQ-01,2026-09-07T10:15:00,5400,connected,1810,최근 5분,1.1,synced,3,스냅샷 이후 조업
EV-032,EQ-02,2026-09-07T10:00:00,4800,connected,1490,최근 5분,11.8,synced,8,오후 유실
EV-033,EQ-04,2026-09-07T10:30:00,3600,error,80,최근 5분,36.0,delayed,280,오류 지속
EV-034,EQ-07,2026-09-07T10:00:00,7200,connected,1990,최근 5분,0.6,synced,2,오후 정상
EV-035,EQ-08,2026-09-07T11:00:00,1800,disconnected,12,최근 5분,88.0,unsynced,,단절 지속
EV-036,EQ-05,2026-09-07T13:00:00,3600,connected,1680,최근 5분,4.2,delayed,160,오후 지연
