pass_id,common_key,pass_no,pass_name,master_profile_id,control_worker_id
P-A14-1,WO-2026-0312|J-A-14,1,루트 패스,MP-KIM,WK-01
P-A14-2,WO-2026-0312|J-A-14,2,채움 패스,MP-KIM,WK-01
P-A14-3,WO-2026-0312|J-A-14,3,캡 패스,MP-KIM,WK-01
P-A15-1,WO-2026-0312|J-A-15,1,루트 패스,MP-KIM,WK-02
P-A15-2,WO-2026-0312|J-A-15,2,채움 패스,MP-KIM,WK-02
P-A15-3,WO-2026-0312|J-A-15,3,캡 패스,MP-LEE,WK-02
P-B03-1,WO-2026-0318|J-B-03,1,루트 패스,MP-KIM,WK-03
P-B03-2,WO-2026-0318|J-B-03,2,채움 패스,MP-KIM,WK-03
P-B03-3,WO-2026-0318|J-B-03,3,캡 패스,,WK-03
P-B07-1,WO-2026-0318|J-B-07,1,루트 패스,MP-LEE,
P-B07-2,WO-2026-0318|J-B-07,2,채움 패스,MP-LEE,WK-03
P-C01-1,WO-2026-0401|J-C-01,1,루트 패스,MP-KIM,WK-04
P-C01-2,WO-2026-0401|J-C-01,2,채움 패스,MP-KIM,WK-04
P-C01-3,WO-2026-0401|J-C-01,3,캡 패스,MP-KIM,WK-04
P-C02-1,WO-2026-0401|J-C-02,1,루트 패스,MP-LEE,WK-04
P-E11-1,WO-2026-0420|J-E-11,1,루트 패스,MP-KIM,WK-06
P-E11-2,WO-2026-0420|J-E-11,2,채움 패스,MP-KIM,WK-06
