series_id,pass_id,common_key,series_role,master_profile_id,worker_id,robot_id,time_ms,current_a,voltage_v,speed_value
S-A14-1-M,P-A14-1,WO-2026-0312|J-A-14,master,MP-KIM,WK-M1,RB-01,0,195.03,23.24,29.49
S-A14-1-M,P-A14-1,WO-2026-0312|J-A-14,master,MP-KIM,WK-M1,RB-01,100,197.87,23.74,29.04
S-A14-1-M,P-A14-1,WO-2026-0312|J-A-14,master,MP-KIM,WK-M1,RB-01,200,198.06,23.8,28.84
S-A14-1-M,P-A14-1,WO-2026-0312|J-A-14,master,MP-KIM,WK-M1,RB-01,300,200.07,24.03,28.78
S-A14-1-M,P-A14-1,WO-2026-0312|J-A-14,master,MP-KIM,WK-M1,RB-01,400,200.04,23.92,29.01
S-A14-1-M,P-A14-1,WO-2026-0312|J-A-14,master,MP-KIM,WK-M1,RB-01,500,195.84,23.3,29.61
S-A14-1-M,P-A14-1,WO-2026-0312|J-A-14,master,MP-KIM,WK-M1,RB-01,600,195.09,23.1,29.52
S-A14-1-M,P-A14-1,WO-2026-0312|J-A-14,master,MP-KIM,WK-M1,RB-01,700,195.14,23.2,29.89
S-A14-1-M,P-A14-1,WO-2026-0312|J-A-14,master,MP-KIM,WK-M1,RB-01,800,194.75,23.06,29.83
S-A14-1-M,P-A14-1,WO-2026-0312|J-A-14,master,MP-KIM,WK-M1,RB-01,900,195.59,23.31,29.84
S-A14-1-M,P-A14-1,WO-2026-0312|J-A-14,master,MP-KIM,WK-M1,RB-01,1000,196.45,23.36,29.58
S-A14-1-M,P-A14-1,WO-2026-0312|J-A-14,master,MP-KIM,WK-M1,RB-01,1100,195.82,23.36,29.53
S-A14-1-M,P-A14-1,WO-2026-0312|J-A-14,master,MP-KIM,WK-M1,RB-01,1200,197.01,23.43,29.4
S-A14-1-M,P-A14-1,WO-2026-0312|J-A-14,master,MP-KIM,WK-M1,RB-01,1300,198.68,23.66,29.03
