history_id,common_key,work_order_id,joint_id,worker_id,equipment_id,worked_at
H001,WO-2026-0312|J-A-14,WO1,JT-A14,WK-01,EQ-01,2026-09-06T14:20:00
H002,WO-2026-0312|J-A-15,WO1,JT-A15,WK-02,EQ-01,2026-09-06T16:05:00
H003,WO-2026-0318|J-B-03,WO2,JT-B03,WK-03,EQ-02,2026-09-05T11:12:00
H004,WO-2026-0318|J-B-07,WO2,JT-B07,WK-03,EQ-02,2026-09-05T13:40:00
H005,WO-2026-0401|J-C-01,WO3,JT-C01,WK-04,EQ-05,2026-09-04T09:18:00
H006,WO-2026-0401|J-C-02,WO3,JT-C02,WK-04,EQ-05,2026-09-04T10:44:00
H007,WO-2026-0412|J-D-09,WO4,JT-D09,WK-05,EQ-07,2026-09-03T15:22:00
H008,WO-2026-0420|J-E-11,WO5,JT-E11,WK-06,EQ-07,2026-09-02T08:55:00
H009,WO-2026-0312|J-A-14,WO1,JT-A14,WK-02,EQ-02,2026-09-01T17:30:00
H010,WO-2026-0312|J-A-15,WO1,JT-A15,WK-01,EQ-01,2026-08-31T13:05:00
H011,WO-2026-0318|J-B-03,WO2,JT-B03,WK-06,EQ-04,2026-08-30T10:10:00
H012,WO-2026-0318|J-B-07,WO2,JT-B07,WK-03,EQ-03,2026-08-29T14:48:00
H013,WO-2026-0401|J-C-01,WO3,JT-C01,WK-04,EQ-05,2026-08-28T09:33:00
H014,WO-2026-0401|J-C-02,WO3,JT-C02,WK-01,EQ-06,2026-08-27T16:21:00
H015,WO-2026-0412|J-D-09,WO4,JT-D09,WK-05,EQ-08,2026-08-26T11:07:00
H016,WO-2026-0420|J-E-11,WO5,JT-E11,WK-06,EQ-07,2026-08-25T15:19:00
H017,WO-2026-0312|J-A-14,WO1,JT-A14,WK-01,EQ-01,2026-08-24T12:40:00
H018,WO-2026-0318|J-B-03,WO2,JT-B03,WK-03,EQ-02,2026-08-23T09:02:00
H019,WO-2026-0312|J-A-15,WO1,JT-A15,WK-02,EQ-01,2026-08-22T18:11:00
H020,WO-2026-0401|J-C-01,WO3,JT-C01,WK-04,EQ-05,2026-08-21T07:45:00
H021,WO-2026-0420|J-E-11,WO5,JT-E11,WK-06,EQ-07,2026-08-20T13:28:00
H022,WO-2026-0318|J-B-07,WO2,JT-B07,WK-02,EQ-02,2026-08-19T16:50:00
